Date,WindSpeed,WindDirection,WindEnergy
12/05/2016 00:00:00,5.55,294,26355.97
13/05/2016 00:00:00,8.51,263,103980.08
14/05/2016 00:00:00,6.43,272,38379.87
15/05/2016 00:00:00,4.26,35,13397.49
16/05/2016 00:00:00,5.32,76,17753.36
17/05/2016 00:00:00,4.87,41,3767.45
18/05/2016 00:00:00,7.4,268,65841.87
19/05/2016 00:00:00,5.05,263,8572.52
20/05/2016 00:00:00,5.06,186,14227.57
21/05/2016 00:00:00,8.14,218,84912.89
22/05/2016 00:00:00,9.09,273,134096.22
23/05/2016 00:00:00,5.6,89,18813.33
24/05/2016 00:00:00,6.57,165,44378.94
25/05/2016 00:00:00,6.82,196,37277.47
26/05/2016 00:00:00,5.03,124,4595.08
27/05/2016 00:00:00,5.73,153,19657.5
28/05/2016 00:00:00,6.71,176,52316.87
29/05/2016 00:00:00,8.2,234,86685.8
30/05/2016 00:00:00,6.86,273,47419.11
31/05/2016 00:00:00,4.96,24,28680.69
01/06/2016 00:00:00,7.17,58,107008.29
02/06/2016 00:00:00,6.2,80,36299.85
03/06/2016 00:00:00,5.7,248,16462.41
04/06/2016 00:00:00,5.1,243,4469.74
05/06/2016 00:00:00,4.64,177,163.09
06/06/2016 00:00:00,5.61,194,22702
07/06/2016 00:00:00,5.13,78,10938.29
08/06/2016 00:00:00,5.6,180,15286.76
09/06/2016 00:00:00,5.53,316,7150.84
10/06/2016 00:00:00,6.22,293,22088.56
11/06/2016 00:00:00,5.49,228,21625.83
12/06/2016 00:00:00,8.49,223,102177.65
13/06/2016 00:00:00,10.42,260,172683.71
14/06/2016 00:00:00,9.98,235,157225.24
15/06/2016 00:00:00,8.92,247,109908.3
16/06/2016 00:00:00,9.23,279,118215.27
17/06/2016 00:00:00,7.94,287,69383.83
18/06/2016 00:00:00,5.22,318,6274.42
19/06/2016 00:00:00,4.84,20,5616.36
20/06/2016 00:00:00,4.96,343,4291.79
21/06/2016 00:00:00,4.95,25,1194.84
22/06/2016 00:00:00,5.5,353,7344.04
23/06/2016 00:00:00,4.57,291,4018.79
24/06/2016 00:00:00,5.23,14,20287.84
25/06/2016 00:00:00,7.58,30,103725.56
26/06/2016 00:00:00,8.73,39,157347.83
27/06/2016 00:00:00,4.74,38,11107.84
28/06/2016 00:00:00,5.52,6,8263.81
29/06/2016 00:00:00,5.35,315,9495.21
30/06/2016 00:00:00,5.53,258,11682.41
01/07/2016 00:00:00,5.32,268,8714.44
02/07/2016 00:00:00,4.8,1,6800.45
03/07/2016 00:00:00,5.65,45,49242.17
04/07/2016 00:00:00,6.85,52,77040.16
05/07/2016 00:00:00,7.59,56,120279.46
